Quadratic Model Fit Results

Quadratic Model Equation,Parameter a,Parameter b,Parameter c
ax^2 + bx + c,6.298126566406923e-08,0.0008205925728235654,-0.010686983801014915

Blank Correction Factor
0.082

Sample ID,Raw Sample Absorbance,Blank-Corrected Absorbance,Concentration (ng/mL),Adjusted Concentration (µg/mL after dilution),Adjusted Concentration (mg/dL after dilution)
1000D_1,0.186,0.104,138.293311843084,691.46655921542,69.146655921542
1000D_2,0.182,0.09999999999999999,133.51839895877058,667.5919947938529,66.75919947938529
1000D_3,0.174,0.09199999999999998,123.95826981352532,619.7913490676266,61.97913490676267
1000D_4,0.179,0.09699999999999999,129.93496245786895,649.6748122893447,64.96748122893447
1000D_1,0.182,0.09999999999999999,133.51839895877058,667.5919947938529,66.75919947938529
1000D_2,0.189,0.107,141.87224870696585,709.3612435348292,70.93612435348292
1000D_3,0.188,0.106,140.67948359817177,703.3974179908589,70.33974179908589
1000D_4,0.198,0.116,152.59753227603164,762.9876613801582,76.29876613801582
1000D_1,0.178,0.09599999999999999,128.74005408589142,643.7002704294571,64.37002704294571
1000D_2,0.189,0.107,141.87224870696585,709.3612435348292,70.93612435348292
1000D_3,0.172,0.08999999999999998,121.56608557932067,607.8304278966034,60.783042789660335
1000D_4,0.173,0.09099999999999998,122.76228546825473,613.8114273412737,61.381142734127366
1500D_1,0.146,0.06399999999999999,90.38884856042515,451.94424280212576,45.19442428021257
1500D_2,0.15,0.06799999999999999,95.19491839582149,475.97459197910746,47.597459197910744
1500D_3,0.151,0.06899999999999999,96.39588992737988,481.9794496368994,48.19794496368994
1500D_4,0.151,0.06899999999999999,96.39588992737988,481.9794496368994,48.19794496368994
1500D_1,0.154,0.072,99.99749619976636,499.9874809988318,49.99874809988318
1500D_2,0.161,0.079,108.39362750211392,541.9681375105695,54.19681375105695
1500D_3,0.15,0.06799999999999999,95.19491839582149,475.97459197910746,47.597459197910744
1500D_4,0.162,0.08,109.59220608880138,547.961030444007,54.79610304440069
1500D_1,0.163,0.081,110.79056784364505,553.9528392182252,55.39528392182252
1500D_2,0.165,0.083,113.18664132824107,565.9332066412054,56.59332066412053
1500D_3,0.165,0.083,113.18664132824107,565.9332066412054,56.59332066412053
1500D_4,0.155,0.073,101.19759591215818,505.98797956079085,50.59879795607909
